Update,Date,Ticker,Likes,Trader,Seguidores,Profile_Url,Recommendation,Title,Content,Sentiment
Updated ,2023-09-27 04:05:29,BTCUSDT,86,Tolberti,26169,/u/Tolberti/,Long,Bitcoin - Ready to reach 30k! (watch this trendline),comment bitcoin action bore breakout specifi trendlin bitcoin bullish octob cours follow strong resist pullback yellow trendlin gateway ultrahug market break expect massiv uptrend possibl retest stoplo resist strong fibonacci retrac previou downtrend control volum profil definit expect pullback alway import elliot analysi outlook over market structur downtrend complex correction— triplethr pattern correct weakn bullish bitcoin expect profil previou analys import altcoin anoth indic bitcoin cours altcoin bullish updat bitcoin analysi stoplo profit target expect durat risktoreward time trade transpar privat follow,1
Updated ,2023-09-26 17:19:51,XAUUSD,153,RLinda,37901,/u/RLinda/,Short,GOLD → Price continues to form a downtrend,comment xauusd break anoth support bearish prerequisit previous put market realiz accumul chanc continu format global consolid break support correct breakout form consolid consolid support bearish potenti conveni earlier strong seloff resist retest format bearish posit powel speech specif dollar continu strengthen discov corridor move averag form anoth bearish signal resist level support level expect declin continu consolid breakout possibl prospect xauusd silver xagusd regard,-1
,2023-09-26 10:10:48,XAUUSD,128,HAMED_AZ,22771,/u/HAMED_AZ/,Long,XAUUSD,trader approach rel support expect indic level reach zonein receiv confirm posit use forget comment❤️,1
Updated ,2023-09-27 02:39:15,GBPJPY,49,KABHI_FOREX_TRADING,8150,/u/KABHI_FOREX_TRADING/,Short,Sell GBPJPY Bearish Pennant,activ close target reach gbpjpi bearish pennant gbpjpi break bearish pennant pattern chanc,-1
Updated ,2023-09-27 04:05:43,GOLD,149,Human_Fenrir,50,/u/Human_Fenrir/,," Following the Fed's comments, gold experienced a decline.",comment market move direct wonder excel wonder comment comment opinion accur price declin dollar gain strength yield follow comment feder reserv kashkari presid feder reserv minneapoli state speech monday even anticip interest possibl remain elev remark mirror statement feder reserv jerom previou mention persist inflat tighten market anoth interest increas temper expect signific interest come target expect ,0
Updated ,2023-09-27 08:08:00,XAUUSD,62,ProjectSyndicate,57569,/u/ProjectSyndicate/,Short,gold 4hour overview of key s/r levels,comment level breakout expect strong pressur comment break alreadi comment progr 🔸 trader review level noteworthi sequenc indic strong downtrend current redistribut progr limit upsid 🔸 suppli overhead demand howev maintain strateg advantag ripsral indic limit upsid potenti price midtermshortterm 🔸 remain sidelin bounc 🔸outlook recommend trade strategi ripsral overhead resist recent downsid target immedi natur progress sequenc 🎁pleas button 🎁 comment support disclaim trade futur stock involv pleas consid care trade appropri perform indic futur result alway leverag,-1
,2023-09-26 05:04:08,XAUUSD,110,Lingrid,87651,/u/Lingrid/,Short,Lingrid | GOLD possible complex PULLBACK from the SUPPORT level,perfectli fulfil market reach support previou weekli market deeper pullbackt reach bullish impuls push probabl market weakn support around trader opinion comment 👩‍💻,-1
,2023-09-26 07:30:55,XAUUSD,25,WalterMoon,3237,/u/WalterMoon/,Short,GOLD - Price can bounce of resistance area and continue to fall,overview xauusd feedback comments👊 support fall channel bounc resist bounc downward impuls support channel break $ reach support triangl upward impuls resist triangl therebi exit channel exit channel $ bounc resist triangl start declin support recent $ exit triangl trade resist bounc $ use support likeboost advic comments❤️,-1
Updated ,2023-09-27 05:34:44,BCHUSDT,30,P_S_trade,36872,/u/P_S_trade/,Long,Bitcoin Cash BCH - long trade #16,close target reach reach target inact colleagu bitcoin narrow consolid interest shortterm success growth septemb correct septemb seller updat howev fail foothold $ natur septemb seller strength continu pressur opinion like declin $ updat becom whether growth correct growth momentum easili mediumterm target $ howev interest shortterm follow paramet =$ =  = + = place fairli buyer $ sharpli $ buy alloc $ mistak receiv $ profit $,1
Updated ,2023-09-26 16:15:32,EURUSD,49,FOREXN1,21514,/u/FOREXN1/,Short,"EUR/USD Rebounds, But Challenges Persist Amid ECB and US...",comment eurusd rebound challeng persist econom signal eurusd currenc benchmark eurozon unit state experienc fluctuat market particip navig landscap contrast signal central econom despit recent rebound intraday loss ongo challeng atlant lagard cautionari stanc european central presid christin lagard remark keep interest restrict extend period garner attent declar intend addr rise inflat concern underscor dilemma balanc stabil eurozon uneven domest economi delic balanc appear weigh perform resurg dollar strong dollar dollar remain highest novemb buoy combin cautiou market sentiment surg treasuri yield 10year treasuri surg  unseen octob upward trajectori yield resili economi contribut dollar strength feder reserv hawkish expect sustain higher interest root feder reserv hawkish stanc central signal willingn implement interest necessari commit polici tighten reinforc appeal dollar uncertain shutdown polit gridlock concern potenti feder govern shutdown market jitter warn presid senior advis regard consequ shutdown includ potenti benefit lowincom individu stir apprehens polit gridlock congr republican propos signific budget like reject democraticcontrol senat rais specter partial govern shutdown econom releas await investor cautious attent forthcom econom releas feder reserv favor inflat person consumpt expenditur eurozon harmon consum price schedul releas dataset expect provid valuabl insight inflationari pressur economi potenti influenc trade decis eurusd conclus eurusd currenc navig challeng landscap character contrast central polici surg treasuri yield polit uncertainti upcom econom releas rebound intraday loss ongo pressur persist currenc futur trajectori hing abil market particip interpret respond everevolv signal atlant prefer posit target & extens,-1
